construct;type;name;description
http://www.w3.org/2002/07/owl#intersectionOf;http://www.w3.org/1999/02/22-rdf-syntax-ns#Property;intersectionOf;The property that determines the collection of classes or data ranges that build an intersection.
http://www.w3.org/2002/07/owl#onClass;http://www.w3.org/1999/02/22-rdf-syntax-ns#Property;onClass;The property that determines the class that a qualified object cardinality restriction refers to.
http://www.w3.org/2002/07/owl#onDataRange;http://www.w3.org/1999/02/22-rdf-syntax-ns#Property;onDataRange;The property that determines the data range that a qualified data cardinality restriction refers to.
http://www.w3.org/2002/07/owl#backwardCompatibleWith;http://www.w3.org/1999/02/22-rdf-syntax-ns#Property;backwardCompatibleWith;The annotation property that indicates that a given ontology is backward compatible with another ontology.
http://www.w3.org/2002/07/owl#disjointWith;http://www.w3.org/1999/02/22-rdf-syntax-ns#Property;disjointWith;The property that determines that two given classes are disjoint.
http://www.w3.org/2002/07/owl#unionOf;http://www.w3.org/1999/02/22-rdf-syntax-ns#Property;unionOf;The property that determines the collection of classes or data ranges that build a union.
http://www.w3.org/2002/07/owl#qualifiedCardinality;http://www.w3.org/1999/02/22-rdf-syntax-ns#Property;qualifiedCardinality;The property that determines the cardinality of an exact qualified cardinality restriction.
http://www.w3.org/2002/07/owl#minQualifiedCardinality;http://www.w3.org/1999/02/22-rdf-syntax-ns#Property;minQualifiedCardinality;The property that determines the cardinality of a minimum qualified cardinality restriction.
http://www.w3.org/2002/07/owl#versionIRI;http://www.w3.org/1999/02/22-rdf-syntax-ns#Property;versionIRI;The property that identifies the version IRI of an ontology.
http://www.w3.org/2002/07/owl#annotatedProperty;http://www.w3.org/1999/02/22-rdf-syntax-ns#Property;annotatedProperty;The property that determines the predicate of an annotated axiom or annotated annotation.
http://www.w3.org/2002/07/owl#annotatedSource;http://www.w3.org/1999/02/22-rdf-syntax-ns#Property;annotatedSource;The property that determines the subject of an annotated axiom or annotated annotation.
http://www.w3.org/2002/07/owl#annotatedTarget;http://www.w3.org/1999/02/22-rdf-syntax-ns#Property;annotatedTarget;The property that determines the object of an annotated axiom or annotated annotation.
http://www.w3.org/2002/07/owl#assertionProperty;http://www.w3.org/1999/02/22-rdf-syntax-ns#Property;assertionProperty;The property that determines the predicate of a negative property assertion.
http://www.w3.org/2002/07/owl#bottomDataProperty;http://www.w3.org/1999/02/22-rdf-syntax-ns#Property;bottomDataProperty;The data property that does not relate any individual to any data value.
http://www.w3.org/2002/07/owl#bottomObjectProperty;http://www.w3.org/1999/02/22-rdf-syntax-ns#Property;bottomObjectProperty;The object property that does not relate any two individuals.
http://www.w3.org/2002/07/owl#datatypeComplementOf;http://www.w3.org/1999/02/22-rdf-syntax-ns#Property;datatypeComplementOf;The property that determines that a given data range is the complement of another data range with respect to the data domain.
http://www.w3.org/2002/07/owl#disjointUnionOf;http://www.w3.org/1999/02/22-rdf-syntax-ns#Property;disjointUnionOf;The property that determines that a given class is equivalent to the disjoint union of a collection of other classes.
http://www.w3.org/2002/07/owl#distinctMembers;http://www.w3.org/1999/02/22-rdf-syntax-ns#Property;distinctMembers;The property that determines the collection of pairwise different individuals in a owl:AllDifferent axiom.
http://www.w3.org/2002/07/owl#hasKey;http://www.w3.org/1999/02/22-rdf-syntax-ns#Property;hasKey;The property that determines the collection of properties that jointly build a key.
http://www.w3.org/2002/07/owl#hasSelf;http://www.w3.org/1999/02/22-rdf-syntax-ns#Property;hasSelf;The property that determines the property that a self restriction refers to.
http://www.w3.org/2002/07/owl#hasValue;http://www.w3.org/1999/02/22-rdf-syntax-ns#Property;hasValue;The property that determines the individual that a has-value restriction refers to.
http://www.w3.org/2002/07/owl#incompatibleWith;http://www.w3.org/1999/02/22-rdf-syntax-ns#Property;incompatibleWith;The annotation property that indicates that a given ontology is incompatible with another ontology.
http://www.w3.org/2002/07/owl#maxCardinality;http://www.w3.org/1999/02/22-rdf-syntax-ns#Property;maxCardinality;The property that determines the cardinality of a maximum cardinality restriction.
http://www.w3.org/2002/07/owl#members;http://www.w3.org/1999/02/22-rdf-syntax-ns#Property;members;The property that determines the collection of members in either a owl:AllDifferent, owl:AllDisjointClasses or owl:AllDisjointProperties axiom.
http://www.w3.org/2002/07/owl#minCardinality;http://www.w3.org/1999/02/22-rdf-syntax-ns#Property;minCardinality;The property that determines the cardinality of a minimum cardinality restriction.
http://www.w3.org/2002/07/owl#onDatatype;http://www.w3.org/1999/02/22-rdf-syntax-ns#Property;onDatatype;The property that determines the datatype that a datatype restriction refers to.
http://www.w3.org/2002/07/owl#oneOf;http://www.w3.org/1999/02/22-rdf-syntax-ns#Property;oneOf;The property that determines the collection of individuals or data values that build an enumeration.
http://www.w3.org/2002/07/owl#onProperties;http://www.w3.org/1999/02/22-rdf-syntax-ns#Property;onProperties;The property that determines the n-tuple of properties that a property restriction on an n-ary data range refers to.
http://www.w3.org/2002/07/owl#priorVersion;http://www.w3.org/1999/02/22-rdf-syntax-ns#Property;priorVersion;The annotation property that indicates the predecessor ontology of a given ontology.
http://www.w3.org/2002/07/owl#propertyDisjointWith;http://www.w3.org/1999/02/22-rdf-syntax-ns#Property;propertyDisjointWith;The property that determines that two given properties are disjoint.
http://www.w3.org/2002/07/owl#sourceIndividual;http://www.w3.org/1999/02/22-rdf-syntax-ns#Property;sourceIndividual;The property that determines the subject of a negative property assertion.
http://www.w3.org/2002/07/owl#targetIndividual;http://www.w3.org/1999/02/22-rdf-syntax-ns#Property;targetIndividual;The property that determines the object of a negative object property assertion.
http://www.w3.org/2002/07/owl#targetValue;http://www.w3.org/1999/02/22-rdf-syntax-ns#Property;targetValue;The property that determines the value of a negative data property assertion.
http://www.w3.org/2002/07/owl#topObjectProperty;http://www.w3.org/1999/02/22-rdf-syntax-ns#Property;topObjectProperty;The object property that relates every two individuals.
http://www.w3.org/2002/07/owl#withRestrictions;http://www.w3.org/1999/02/22-rdf-syntax-ns#Property;withRestrictions;The property that determines the collection of facet-value pairs that define a datatype restriction.
http://www.w3.org/2002/07/owl#versionInfo;http://www.w3.org/2002/07/owl#AnnotationProperty;versionInfo;The annotation property that provides version information for an ontology or another OWL construct.
http://www.w3.org/2002/07/owl#deprecated;http://www.w3.org/2002/07/owl#AnnotationProperty;deprecated;The annotation property that indicates that a given entity has been deprecated.
http://www.w3.org/2002/07/owl#backwardCompatibleWith;http://www.w3.org/2002/07/owl#AnnotationProperty;backwardCompatibleWith;The annotation property that indicates that a given ontology is backward compatible with another ontology.
http://www.w3.org/2002/07/owl#incompatibleWith;http://www.w3.org/2002/07/owl#AnnotationProperty;incompatibleWith;The annotation property that indicates that a given ontology is incompatible with another ontology.
http://www.w3.org/2002/07/owl#priorVersion;http://www.w3.org/2002/07/owl#AnnotationProperty;priorVersion;The annotation property that indicates the predecessor ontology of a given ontology.
http://www.w3.org/2002/07/owl#imports;http://www.w3.org/2002/07/owl#OntologyProperty;imports;The property that is used for importing other ontologies into a given ontology.
http://www.w3.org/2002/07/owl#backwardCompatibleWith;http://www.w3.org/2002/07/owl#OntologyProperty;backwardCompatibleWith;The annotation property that indicates that a given ontology is backward compatible with another ontology.
http://www.w3.org/2002/07/owl#versionIRI;http://www.w3.org/2002/07/owl#OntologyProperty;versionIRI;The property that identifies the version IRI of an ontology.
http://www.w3.org/2002/07/owl#incompatibleWith;http://www.w3.org/2002/07/owl#OntologyProperty;incompatibleWith;The annotation property that indicates that a given ontology is incompatible with another ontology.
http://www.w3.org/2002/07/owl#priorVersion;http://www.w3.org/2002/07/owl#OntologyProperty;priorVersion;The annotation property that indicates the predecessor ontology of a given ontology.
